;;###################################################################
;;Tiername:;;ST1
;;Ohrmarkennummer:;;ST1
;;Bolusnummer:;;X0000001
;;Seriennummer:;;X0000001
;;Sensornummer:;;X0000001

;;Daten Anzahl:;;9767
;;Download Zeitpunkt:;;01.11.2020 14:35
;;###################################################################


;;Datum;Zeit;Temperatur [°C];pH Wert
;;11.11.2019;10:34;22,94;6,35
;;11.11.2019;10:44;36,12;6,03
;;11.11.2019;10:54;37,88;5,9
;;11.11.2019;11:04;38,68;5,77
;;11.11.2019;11:14;39,01;5,66
;;11.11.2019;11:24;39,48;5,54
;;11.11.2019;11:34;39,66;5,56
;;11.11.2019;11:44;40,22;6,23
;;11.11.2019;11:54;38,99;6,31
;;11.11.2019;12:04;33,68;6,15
;;11.11.2019;12:14;35,79;6,14
;;11.11.2019;12:24;37,31;5,96
;;11.11.2019;12:34;37,93;6,1
;;11.11.2019;12:44;38,36;6,19
;;11.11.2019;12:54;38,58;6,2
;;11.11.2019;13:04;38,66;6,27
;;11.11.2019;13:14;38,81;6,27
;;11.11.2019;13:24;38,81;6,28
;;11.11.2019;13:34;38,97;6,3
;;11.11.2019;13:44;39,32;6,31
;;11.11.2019;13:54;39,09;6,3
;;11.11.2019;14:04;39,4;6,34
;;11.11.2019;14:14;39,51;6,33
;;11.11.2019;14:24;39,51;6,34
;;11.11.2019;14:34;39,87;6,39
;;11.11.2019;14:44;39,98;6,34
;;11.11.2019;14:54;40,06;6,36
;;11.11.2019;15:04;40,18;6,32
;;11.11.2019;15:14;39,98;6,38
;;11.11.2019;15:24;39,98;6,35
;;11.11.2019;15:34;40,08;6,36
;;11.11.2019;15:44;40,2;6,36
;;11.11.2019;15:54;40,22;6,4
;;11.11.2019;16:04;40,16;6,4
;;11.11.2019;16:14;40,14;6,51
;;11.11.2019;16:24;40,1;6,5
;;11.11.2019;16:34;40,12;6,56
;;11.11.2019;16:44;40,08;6,56
;;11.11.2019;16:54;39,85;6,56
;;11.11.2019;17:04;39,92;6,46
;;11.11.2019;17:14;34,19;6,43
;;11.11.2019;17:24;36,47;6,47
;;11.11.2019;17:34;38,09;6,49
;;11.11.2019;17:44;38,54;6,5
;;11.11.2019;17:54;38,7;6,46
;;11.11.2019;18:04;38,81;6,4
;;11.11.2019;18:14;38,97;6,39
;;11.11.2019;18:24;38,85;6,34
;;11.11.2019;18:34;39,01;6,32
;;11.11.2019;18:44;39,27;6,32
;;11.11.2019;18:54;34,13;6,27
;;11.11.2019;19:04;35,33;6,3
;;11.11.2019;19:14;37,47;6,3
;;11.11.2019;19:24;38,13;6,28
;;11.11.2019;19:34;38,52;6,27
;;11.11.2019;19:44;38,95;6,27
;;11.11.2019;19:54;39,3;6,34
;;11.11.2019;20:04;39,32;6,34
;;11.11.2019;20:14;39,61;6,38
;;11.11.2019;20:24;39,79;6,39
;;11.11.2019;20:34;39,9;6,38
;;11.11.2019;20:44;39,82;6,47
;;11.11.2019;20:54;39,77;6,47
;;11.11.2019;21:04;39,66;6,41
;;11.11.2019;21:14;39,87;6,47
;;11.11.2019;21:24;40,02;6,34
;;11.11.2019;21:34;40,08;6,37
;;11.11.2019;21:44;40,06;6,36
;;11.11.2019;21:54;39,82;6,42
