;;###################################################################
;;Tiername:;;ST2
;;Ohrmarkennummer:;;ST2
;;Bolusnummer:;;X0000002
;;Seriennummer:;;X0000002
;;Sensornummer:;;X0000002

;;Daten Anzahl:;;1992
;;Download Zeitpunkt:;;01.11.2020 14:35
;;###################################################################


;;Datum;Zeit;Temperatur [°C];pH Wert
;;11.11.2019;11:07;32,59;6,39
;;11.11.2019;11:17;39,35;6,37
;;11.11.2019;11:27;40,59;6,34
;;11.11.2019;11:37;40,74;6,25
;;11.11.2019;11:47;40,82;6,16
;;11.11.2019;11:57;35,64;6,37
;;11.11.2019;12:07;33,81;6,14
;;11.11.2019;12:17;36,59;6,21
;;11.11.2019;12:27;37,92;6,27
;;11.11.2019;12:37;38,62;6,22
;;11.11.2019;12:47;38,99;6,23
;;11.11.2019;12:57;39,19;6,27
;;11.11.2019;13:07;39,4;6,24
;;11.11.2019;13:17;39,58;6,27
;;11.11.2019;13:27;39,77;6,32
;;11.11.2019;13:37;39,82;6,31
;;11.11.2019;13:47;39,97;6,4
;;11.11.2019;13:57;40,08;6,49
;;11.11.2019;14:07;40,25;6,46
;;11.11.2019;14:17;40,41;6,47
;;11.11.2019;14:27;40,53;6,55
;;11.11.2019;14:37;40,59;6,53
;;11.11.2019;14:47;40,67;6,43
;;11.11.2019;14:57;40,59;6,36
;;11.11.2019;15:07;40,57;6,4
;;11.11.2019;15:17;40,51;6,37
;;11.11.2019;15:27;40,45;6,33
;;11.11.2019;15:37;40,45;6,4
;;11.11.2019;15:47;40,43;6,44
;;11.11.2019;15:57;40,53;6,41
;;11.11.2019;16:07;40,61;6,42
;;11.11.2019;16:17;40,65;6,4
;;11.11.2019;16:27;33,88;6,3
;;11.11.2019;16:37;36,32;6,19
;;11.11.2019;16:47;38,19;6,2
;;11.11.2019;16:57;38,85;6,16
;;11.11.2019;17:07;39,14;6,17
;;11.11.2019;17:17;39,32;6,2
;;11.11.2019;17:27;39,56;6,2
;;11.11.2019;17:37;39,69;6,16
;;11.11.2019;17:47;39,01;6,27
;;11.11.2019;17:57;35,47;6,18
;;11.11.2019;18:07;37,66;6,27
;;11.11.2019;18:17;38,85;6,33
;;11.11.2019;18:27;39,64;6,41
;;11.11.2019;18:37;40,12;6,33
;;11.11.2019;18:47;40,24;6,15
;;11.11.2019;18:57;40,31;6,14
;;11.11.2019;19:07;40,29;6,06
;;11.11.2019;19:17;40,24;6,12
;;11.11.2019;19:27;40,29;6,15
;;11.11.2019;19:37;40,49;6,15
;;11.11.2019;19:47;37,82;5,99
;;11.11.2019;19:57;36,4;5,84
;;11.11.2019;20:07;38,21;6,13
;;11.11.2019;20:17;39,19;6,16
;;11.11.2019;20:27;39,79;6,12
;;11.11.2019;20:37;40,1;6,08
;;11.11.2019;20:47;40,31;6,08
;;11.11.2019;20:57;40,45;6
;;11.11.2019;21:07;40,43;5,98
;;11.11.2019;21:17;40,29;5,88
;;11.11.2019;21:27;40,27;5,91
;;11.11.2019;21:37;40,31;5,92
;;11.11.2019;21:47;40,39;5,94
;;11.11.2019;21:57;40,39;6,03
;;11.11.2019;22:06;40,45;6,05
;;11.11.2019;22:16;40,55;6,05
;;11.11.2019;22:26;40,65;6,04
;;11.11.2019;22:36;40,76;5,98
;;11.11.2019;22:46;34,85;6,09
;;11.11.2019;22:56;36,55;6,01
;;11.11.2019;23:06;38,56;6,07
;;11.11.2019;23:16;39,48;6,06
;;11.11.2019;23:26;39,71;6,05
;;11.11.2019;23:36;39,74;6,04
;;11.11.2019;23:46;39,82;6,1
;;11.11.2019;23:56;39,84;6,24
;;12.11.2019;00:06;39,95;6,31
;;12.11.2019;00:16;40,1;6,31
;;12.11.2019;00:26;40,24;6,35
;;12.11.2019;00:36;40,33;6,36
;;12.11.2019;00:46;40,41;6,31
;;12.11.2019;00:56;40,43;6,31
;;12.11.2019;01:06;40,47;6,29
;;12.11.2019;01:16;40,53;6,25
;;12.11.2019;01:26;40,61;6,26
;;12.11.2019;01:36;40,57;6,21
;;12.11.2019;01:46;40,37;6,14
;;12.11.2019;01:56;40,27;6,18
;;12.11.2019;02:06;40,39;6,19
;;12.11.2019;02:16;40,55;6,19
;;12.11.2019;02:26;40,67;6,16
;;12.11.2019;02:36;40,71;6,25
;;12.11.2019;02:46;40,69;6,31
;;12.11.2019;02:56;40,73;6,32
;;12.11.2019;03:06;40,69;6,36
;;12.11.2019;03:16;40,67;6,31
;;12.11.2019;03:26;40,73;6,41
;;12.11.2019;03:36;40,69;6,43
;;12.11.2019;03:46;40,71;6,47
;;12.11.2019;03:56;40,61;6,48
;;12.11.2019;04:06;40,53;6,49
;;12.11.2019;04:16;40,51;6,46
;;12.11.2019;04:26;40,49;6,53
;;12.11.2019;04:36;40,55;6,5
;;12.11.2019;04:46;40,51;6,64
;;12.11.2019;04:56;40,57;6,63
;;12.11.2019;05:06;40,41;6,66
;;12.11.2019;05:16;32,9;6,43
;;12.11.2019;05:26;35,47;6,43
;;12.11.2019;05:36;37,12;6,44
;;12.11.2019;05:46;37,78;6,46
;;12.11.2019;05:56;38,09;6,41
;;12.11.2019;06:06;38,3;6,41
;;12.11.2019;06:16;38,5;6,37
;;12.11.2019;06:26;38,73;6,39
;;12.11.2019;06:36;38,95;6,37
;;12.11.2019;06:46;39,17;6,35
;;12.11.2019;06:56;39,35;6,34
;;12.11.2019;07:06;39,53;6,33
;;12.11.2019;07:16;39,64;6,3
;;12.11.2019;07:26;33,86;6,34
;;12.11.2019;07:36;36,13;6,37
;;12.11.2019;07:46;37,74;6,44
;;12.11.2019;07:56;38,7;6,34
;;12.11.2019;08:06;39,27;6,31
;;12.11.2019;08:16;39,56;6,29
;;12.11.2019;08:26;39,79;6,29
;;12.11.2019;08:36;40,02;6,29
;;12.11.2019;08:46;40,2;6,21
;;12.11.2019;08:56;40,33;6,09
;;12.11.2019;09:06;40,33;6,11
;;12.11.2019;09:16;40,33;6,11
;;12.11.2019;09:26;40,35;6,18
;;12.11.2019;09:36;40,35;6,24
;;12.11.2019;09:46;40,31;6,35
;;12.11.2019;09:56;40,39;6,32
;;12.11.2019;10:06;40,43;6,33
;;12.11.2019;10:16;40,55;6,3
;;12.11.2019;10:26;40,49;6,2
;;12.11.2019;10:36;40,47;6,21
;;12.11.2019;10:46;40,47;6,26
;;12.11.2019;10:56;32,94;6,19
;;12.11.2019;11:06;35,02;6,19
;;12.11.2019;11:16;37,12;6,31
;;12.11.2019;11:26;38,11;6,43
;;12.11.2019;11:36;38,79;6,42
;;12.11.2019;11:46;39,45;6,38
;;12.11.2019;11:56;39,87;6,41
;;12.11.2019;12:06;40,08;6,38
;;12.11.2019;12:16;40,1;6,36
;;12.11.2019;12:26;40;6,32
;;12.11.2019;12:36;39,92;6,36
;;12.11.2019;12:46;39,92;6,42
;;12.11.2019;12:56;39,97;6,39
;;12.11.2019;13:06;40,04;6,37
;;12.11.2019;13:16;40,18;6,39
;;12.11.2019;13:26;40,29;6,37
;;12.11.2019;13:36;40,41;6,39
;;12.11.2019;13:46;40,43;6,45
;;12.11.2019;13:56;40,39;6,41
;;12.11.2019;14:06;40,39;6,39
;;12.11.2019;14:16;40,37;6,43
;;12.11.2019;14:26;40,31;6,44
;;12.11.2019;14:36;40,25;6,39
;;12.11.2019;14:46;37;6,39
;;12.11.2019;14:56;34,96;6,35
;;12.11.2019;15:06;37,31;6,4
