Serial Number:,,X002, pH Calibration (LOW):,,745, pH Calibration (HIGH):,,245,
Sample Number,Logged At,Temperature (Celcius),raw pH (ADC),Calibrated pH,Session,Retrieved from bolus at,RSSI (dBm),url,flags
1,2015-06-04T11:25:50+0100,18.3,365,6.28,392,Fri Jan  2 02:21:52 1970 BST (+0100),-76,www.wellcow-data.co.uk/api/v1/sessions/XXX,Bolus responded=1:All data downloaded=0:Missing rows detected=0
2,2015-06-04T11:40:50+0100,37.8,266,6.87,392,,,,
3,2015-06-04T11:55:50+0100,36.3,281,6.78,392,,,,
4,2015-06-04T12:10:50+0100,38.1,284,6.77,392,,,,
5,2015-06-04T12:25:50+0100,38.8,273,6.83,392,,,,
6,2015-06-04T12:40:50+0100,39.1,272,6.84,392,,,,
7,2015-06-04T12:55:50+0100,39.1,272,6.84,392,,,,
8,2015-06-04T13:10:50+0100,39.4,301,6.66,392,,,,
9,2015-06-04T13:25:50+0100,39.4,302,6.66,392,,,,
10,2015-06-04T13:40:50+0100,39.4,290,6.73,392,,,,
11,2015-06-04T13:55:50+0100,39.4,283,6.77,392,,,,
12,2015-06-04T14:10:50+0100,39.4,269,6.86,392,,,,
13,2015-06-04T14:25:50+0100,39.1,292,6.72,392,,,,
14,2015-06-04T14:40:50+0100,39.4,277,6.81,392,,,,
15,2015-06-04T14:55:50+0100,39.4,277,6.81,392,,,,
16,2015-06-04T15:10:50+0100,36.8,297,6.69,392,,,,
17,2015-06-04T15:25:50+0100,38.1,316,6.57,392,,,,
18,2015-06-04T15:40:50+0100,38.6,307,6.63,392,,,,
19,2015-06-04T15:55:50+0100,38.8,312,6.6,392,,,,
20,2015-06-04T16:10:50+0100,39.1,309,6.62,392,,,,
21,2015-06-04T16:25:50+0100,39.1,299,6.68,392,,,,
22,2015-06-04T16:40:50+0100,39.4,285,6.76,392,,,,
23,2015-06-04T16:55:50+0100,39.4,299,6.68,392,,,,
24,2015-06-04T17:10:50+0100,39.4,308,6.62,392,,,,
25,2015-06-04T17:25:50+0100,39.4,307,6.63,392,,,,
26,2015-06-04T17:40:50+0100,37,295,6.7,392,,,,
27,2015-06-04T17:55:50+0100,37,317,6.57,392,,,,
28,2015-06-04T18:10:50+0100,38.1,324,6.53,392,,,,
29,2015-06-04T18:25:50+0100,38.6,317,6.57,392,,,,
30,2015-06-04T18:40:50+0100,38.8,315,6.58,392,,,,
31,2015-06-04T18:55:50+0100,38.8,314,6.59,392,,,,
32,2015-06-04T19:10:50+0100,39.1,304,6.65,392,,,,
33,2015-06-04T19:25:50+0100,39.1,318,6.56,392,,,,
34,2015-06-04T19:40:50+0100,37.3,322,6.54,392,,,,
35,2015-06-04T19:55:50+0100,38.3,311,6.6,392,,,,
36,2015-06-04T20:10:50+0100,38.6,322,6.54,392,,,,
37,2015-06-04T20:25:50+0100,38.8,326,6.51,392,,,,
38,2015-06-04T20:40:50+0100,39.1,323,6.53,392,,,,
39,2015-06-04T20:55:50+0100,39.1,321,6.54,392,,,,
40,2015-06-04T21:10:50+0100,39.1,317,6.57,392,,,,
41,2015-06-04T21:25:50+0100,39.4,323,6.53,392,,,,
42,2015-06-04T21:40:50+0100,39.4,332,6.48,392,,,,
43,2015-06-04T21:55:50+0100,39.4,329,6.5,392,,,,
44,2015-06-04T22:10:50+0100,39.4,332,6.48,392,,,,
45,2015-06-04T22:25:50+0100,37.8,341,6.42,392,,,,
46,2015-06-04T22:40:50+0100,38.8,326,6.51,392,,,,
47,2015-06-04T22:55:50+0100,38.8,315,6.58,392,,,,
48,2015-06-04T23:10:50+0100,39.1,321,6.54,392,,,,
49,2015-06-04T23:25:50+0100,39.1,328,6.5,392,,,,
50,2015-06-04T23:40:50+0100,39.1,307,6.63,392,,,,
51,2015-06-04T23:55:50+0100,39.4,299,6.68,392,,,,
52,2015-06-05T00:10:50+0100,39.4,295,6.7,392,,,,
53,2015-06-05T00:25:50+0100,39.4,312,6.6,392,,,,
54,2015-06-05T00:40:50+0100,39.4,328,6.5,392,,,,
55,2015-06-05T00:55:50+0100,39.1,317,6.57,392,,,,
56,2015-06-05T01:10:50+0100,39.1,311,6.6,392,,,,
57,2015-06-05T01:25:50+0100,39.4,303,6.65,392,,,,
58,2015-06-05T01:40:50+0100,39.1,312,6.6,392,,,,
59,2015-06-05T01:55:50+0100,39.1,321,6.54,392,,,,
60,2015-06-05T02:10:50+0100,39.1,306,6.63,392,,,,
61,2015-06-05T02:25:50+0100,39.1,333,6.47,392,,,,
62,2015-06-05T02:40:50+0100,39.4,333,6.47,392,,,,
63,2015-06-05T02:55:50+0100,39.4,326,6.51,392,,,,
64,2015-06-05T03:10:50+0100,39.4,325,6.52,392,,,,
65,2015-06-05T03:25:50+0100,39.1,323,6.53,392,,,,
66,2015-06-05T03:40:50+0100,39.1,311,6.6,392,,,,
67,2015-06-05T03:55:50+0100,39.4,302,6.66,392,,,,
68,2015-06-05T04:10:50+0100,39.4,307,6.63,392,,,,
69,2015-06-05T04:25:50+0100,39.4,308,6.62,392,,,,
70,2015-06-05T04:40:50+0100,39.4,309,6.62,392,,,,
71,2015-06-05T04:55:50+0100,39.4,306,6.63,392,,,,
72,2015-06-05T05:10:50+0100,39.4,317,6.57,392,,,,
73,2015-06-05T05:25:50+0100,39.4,328,6.5,392,,,,
74,2015-06-05T05:40:50+0100,39.4,324,6.53,392,,,,
75,2015-06-05T05:55:50+0100,39.1,315,6.58,392,,,,
76,2015-06-05T06:10:50+0100,39.4,312,6.6,392,,,,
